iter	Passed	Remaining
616	3186	1977
617	3190	1971
618	3195	1966
619	3199	1961
620	3204	1955
621	3209	1950
622	3213	1944
623	3218	1939
624	3222	1933
625	3227	1928
626	3232	1923
627	3236	1917
628	3241	1912
629	3246	1906
630	3250	1901
631	3255	1895
632	3260	1890
633	3265	1884
634	3269	1879
635	3274	1874
636	3278	1868
637	3283	1862
638	3287	1857
639	3292	1851
640	3296	1846
641	3300	1840
642	3305	1835
643	3309	1829
644	3314	1824
645	3319	1818
646	3323	1813
647	3328	1808
648	3332	1802
649	3337	1796
650	3342	1791
651	3346	1786
652	3350	1780
653	3355	1775
654	3360	1769
655	3364	1764
656	3370	1759
657	3374	1754
658	3379	1748
659	3383	1743
660	3387	1737
661	3391	1731
662	3396	1726
663	3402	1721
664	3406	1716
665	3410	1710
666	3416	1705
667	3420	1700
668	3425	1694
669	3430	1689
670	3434	1684
671	3439	1678
672	3444	1673
673	3448	1668
674	3452	1662
675	3457	1657
676	3461	1651
677	3466	1646
678	3471	1641
679	3476	1635
680	3480	1630
681	3484	1624
682	3488	1619
683	3493	1613
684	3497	1608
685	3502	1603
686	3506	1597
687	3511	1592
688	3515	1586
689	3519	1581
690	3524	1576
691	3528	1570
692	3533	1565
693	3537	1559
694	3542	1554
695	3546	1549
696	3552	1544
697	3556	1538
698	3560	1533
699	3565	1528
700	3570	1522
701	3574	1517
702	3579	1512
703	3584	1507
704	3589	1501
705	3593	1496
706	3598	1491
707	3602	1485
708	3607	1480
709	3611	1475
710	3616	1469
711	3620	1464
712	3625	1459
713	3629	1453
714	3634	1448
715	3638	1443
716	3643	1438
717	3647	1432
718	3651	1427
719	3656	1421
720	3660	1416
721	3664	1411
722	3668	1405
723	3673	1400
724	3678	1395
725	3681	1389
726	3686	1384
727	3692	1379
728	3697	1374
729	3702	1369
730	3706	1363
731	3711	1358
732	3716	1353
733	3721	1348
734	3727	1343
735	3732	1338
736	3736	1333
737	3741	1328
738	3746	1323
739	3750	1317
740	3755	1312
741	3759	1307
742	3763	1301
743	3767	1296
744	3772	1291
745	3777	1286
746	3781	1280
747	3786	1275
748	3791	1270
749	3796	1265
750	3800	1260
751	3805	1254
752	3809	1249
753	3813	1244
754	3817	1238
755	3822	1233
756	3826	1228
757	3830	1223
758	3835	1217
759	3839	1212
760	3843	1207
761	3848	1202
762	3853	1197
763	3858	1191
764	3863	1186
765	3868	1181
766	3874	1176
767	3878	1171
768	3883	1166
769	3888	1161
770	3892	1156
771	3897	1150
772	3901	1145
773	3906	1140
774	3911	1135
775	3915	1130
776	3920	1125
777	3924	1119
778	3929	1114
779	3935	1109
780	3941	1105
781	3946	1100
782	3951	1095
783	3956	1089
784	3960	1084
785	3964	1079
786	3969	1074
787	3973	1069
788	3977	1063
789	3983	1058
790	3988	1053
791	3992	1048
792	3997	1043
793	4002	1038
794	4006	1033
795	4011	1028
796	4016	1022
797	4020	1017
798	4024	1012
799	4029	1007
800	4034	1002
801	4039	997
802	4044	992
803	4050	987
804	4054	982
805	4059	976
806	4063	971
807	4068	966
808	4072	961
809	4077	956
810	4081	951
811	4087	946
812	4091	941
813	4096	936
814	4102	931
815	4107	926
816	4112	921
817	4119	916
818	4124	911
819	4129	906
820	4133	901
821	4138	896
822	4144	891
823	4148	886
824	4152	880
825	4157	875
826	4161	870
827	4166	865
828	4170	860
